NCTId,PD-L1,CUI
NCT00017407,NULL,
NCT00642759,NULL,
NCT00025389,NULL,
NCT02264990,NULL,
NCT00152477,NULL,
NCT00006929,NULL,
NCT00093756,NULL,
NCT00603538,NULL,
NCT01236716,NULL,
NCT00347412,NULL,
NCT00073723,NULL,
NCT04672928,NULL,
NCT00991796,PD-L1_Negative,C4054670
NCT00408460,NULL,
NCT00343291,NULL,
NCT01519804,NULL,
NCT00708812,NULL,
NCT00318136,NULL,
NCT00002969,NULL,
NCT00034541,NULL,
NCT00276588,NULL,
NCT00003387,NULL,
NCT03169335,NULL,
NCT00674102,NULL,
NCT01317615,NULL,
NCT00729612,NULL,
NCT00553462,NULL,
NCT00510445,NULL,
NCT00002972,NULL,
NCT00527735,NULL,
NCT00280150,NULL,
NCT01225302,NULL,
NCT01649947,NULL,
NCT02392507,NULL,
NCT00006469,NULL,
NCT01763645,NULL,
NCT00193362,NULL,
NCT02309177,PD-L1_Negative,C4054670
NCT02328105,NULL,
NCT00079287,NULL,
NCT00003117,NULL,
NCT01620190,NULL,
NCT01493843,NULL,
NCT00147537,NULL,
NCT00287989,NULL,
NCT00085501,NULL,
NCT00178256,NULL,
NCT00003317,NULL,
NCT00023673,NULL,
NCT00096226,NULL,
NCT00050960,NULL,
NCT00600821,NULL,
NCT00653939,NULL,
NCT00974584,NULL,
NCT00368992,NULL,
NCT01820754,NULL,
NCT00226590,NULL,
NCT01069328,NULL,
NCT00387374,NULL,
NCT01540045,NULL,
NCT01234038,NULL,
NCT01769391,NULL,
NCT00716534,NULL,
NCT00874107,NULL,
NCT00457119,NULL,
NCT00020007,NULL,
NCT01048645,NULL,
NCT03092986,NULL,
NCT00861627,NULL,
NCT00534027,NULL,
NCT00034346,NULL,
NCT00533949,NULL,
NCT02027428,NULL,
NCT03594747,NULL,
NCT00088088,NULL,
NCT00004160,NULL,
NCT00001499,NULL,
NCT00274443,NULL,
NCT02172846,NULL,
NCT02429843,NULL,
NCT00948675,NULL,
NCT03296163,NULL,
NCT02367781,PD-L1_Positive,C4284303
NCT00655850,NULL,
NCT01494558,NULL,
NCT00087802,NULL,
NCT01023347,NULL,
NCT00495170,NULL,
NCT01100931,NULL,
NCT00004979,NULL,
